"156";"KARNATAKA";"Hospet";"206159";"143776";"1003";""
"157";"KARNATAKA";"Bellary";"409644";"281768";"988";""
"158";"KARNATAKA";"Chitradurga";"139914";"111514";"990";""
"159";"KARNATAKA";"Davanagere";"435128";"331551";"973";""
"160";"KARNATAKA";"Shimoga";"322428";"255971";"991";""
"161";"KARNATAKA";"Bhadravati";"150776";"118446";"1010";""
"162";"KARNATAKA";"Udupi";"125350";"108041";"1021";""
"163";"KARNATAKA";"Chikmagalur";"118496";"96586";"1013";""
"164";"KARNATAKA";"Tumkur";"305821";"237424";"968";""
"165";"KARNATAKA";"BBMP";"8425970";"6775942";"914";""
"166";"KARNATAKA";"Mandya";"137735";"105938";"1003";""
"167";"KARNATAKA";"Hassan";"133723";"109564";"1015";""
"168";"KARNATAKA";"Mangalore";"484785";"416863";"1014";""
"169";"KARNATAKA";"Mysore";"887446";"702896";"1000";""
"170";"KARNATAKA";"Gulbarga";"532031";"387470";"953";""
"171";"KARNATAKA";"Kolar";"138553";"102978";"978";""
"172";"KARNATAKA";"Robertson Pet";"146428";"119258";"1023";""
"173";"KERALA";"Kozhikode";"432097";"378033";"1093";""
"174";"KERALA";"Palakkad";"131019";"112479";"1053";""
"175";"KERALA";"Thrissur";"315596";"282338";"1076";""
"176";"KERALA";"Kochi";"601574";"535318";"1028";""
"177";"KERALA";"Alappuzha";"174164";"153269";"1076";""
"178";"KERALA";"Kollam";"349033";"292641";"1077";""
"179";"KERALA";"Thiruvananthapuram";"752490";"647479";"1064";""
"180";"MADHYA PRADESH";"Morena";"200506";"139903";"850";""
"181";"MADHYA PRADESH";"Bhind";"197332";"145530";"872";""
"182";"MADHYA PRADESH";"Gwalior";"1053505";"800325";"878";""
"183";"MADHYA PRADESH";"Datia";"100466";"71071";"898";""
"184";"MADHYA PRADESH";"Shivpuri";"179972";"124641";"890";""
"185";"MADHYA PRADESH";"Chhattarpur";"133626";"99154";"893";""
"186";"MADHYA PRADESH";"Sagar";"273357";"217632";"916";""
"187";"MADHYA PRADESH";"Damoh";"124979";"96043";"919";""
"188";"MADHYA PRADESH";"Satna";"280248";"214468";"895";""
"189";"MADHYA PRADESH";"Rewa";"235422";"185291";"889";""
"190";"MADHYA PRADESH";"Neemuch";"128108";"97156";"903";""
"191";"MADHYA PRADESH";"Mandsaur";"141468";"109135";"955";""
"192";"MADHYA PRADESH";"Ratlam";"264810";"207742";"961";""
"193";"MADHYA PRADESH";"Nagda";"100036";"72618";"946";""
"194";"MADHYA PRADESH";"Ujjain";"515215";"391470";"942";""
"195";"MADHYA PRADESH";"Dewas";"289438";"218877";"927";""
"196";"MADHYA PRADESH";"Pithampur";"126099";"87417";"787";""
"197";"MADHYA PRADESH";"Indore";"1960631";"1516434";"921";""
"198";"MADHYA PRADESH";"Khargone";"106452";"77216";"947";""
"199";"MADHYA PRADESH";"Vidisha";"155959";"118678";"915";""
"200";"MADHYA PRADESH";"Bhopal";"1795648";"1354219";"911";""
"201";"MADHYA PRADESH";"Sehore";"108818";"82066";"933";""
"202";"MADHYA PRADESH";"Betul";"103341";"83356";"953";""
"203";"MADHYA PRADESH";"Hoshangabad";"117956";"92317";"915";""
"204";"MADHYA PRADESH";"Murwara (Katni)";"221875";"171966";"922";""
"205";"MADHYA PRADESH";"Jabalpur";"1054336";"841399";"929";""
"206";"MADHYA PRADESH";"Chhindwara";"138266";"112532";"963";""
"207";"MADHYA PRADESH";"Seoni";"102377";"83832";"955";""
"208";"MADHYA PRADESH";"Guna";"180978";"128463";"912";""
"209";"MADHYA PRADESH";"Singrauli";"220295";"147527";"878";""
"210";"MADHYA PRADESH";"Khandwa";"200681";"153609";"951";""
"211";"MADHYA PRADESH";"Burhanpur";"210891";"149339";"948";""
"212";"MAHARASHTRA";"Nandurbar";"111067";"85635";"930";""
"213";"MAHARASHTRA";"Dhule";"376093";"298693";"940";""
"214";"MAHARASHTRA";"Jalgaon";"460468";"363778";"909";""
"215";"MAHARASHTRA";"Bhusawal";"187750";"152103";"942";""
"216";"MAHARASHTRA";"Akola";"427146";"347687";"958";""
"217";"MAHARASHTRA";"Achalpur";"112293";"92433";"928";""
"218";"MAHARASHTRA";"Amravati";"646801";"543568";"957";""
"219";"MAHARASHTRA";"Wardha";"105543";"90091";"982";""
"220";"MAHARASHTRA";"Hinganghat";"100416";"85599";"936";""
"221";"MAHARASHTRA";"Nagpur";"2405421";"2018598";"961";""
"222";"MAHARASHTRA";"Gondiya";"132889";"112490";"991";""
"223";"MAHARASHTRA";"Chandrapur";"321036";"263962";"944";""
"224";"MAHARASHTRA";"Yavatmal";"116714";"96980";"988";""
"225";"MAHARASHTRA";"Nanded Waghala";"550564";"421606";"924";""
"226";"MAHARASHTRA";"Parbhani";"307191";"225298";"949";""
"227";"MAHARASHTRA";"Jalna";"285349";"209531";"932";""
"228";"MAHARASHTRA";"Aurangabad";"1171330";"908725";"919";""
"229";"MAHARASHTRA";"Nashik";"1486973";"1198144";"894";"FALSE"
"230";"MAHARASHTRA";"Malegoan";"471006";"343611";"969";""
"231";"MAHARASHTRA";"Vasai Virar City";"1221233";"987916";"880";""
"232";"MAHARASHTRA";"Bhiwandi";"711329";"507722";"700";"FALSE"
"233";"MAHARASHTRA";"Greater Mumbai";"12478447";"10237586";"852";"TRUE"
"234";"MAHARASHTRA";"Mira-Bhayander";"814655";"684165";"876";""
"235";"MAHARASHTRA";"Thane";"1818872";"1491552";"882";""
"236";"MAHARASHTRA";"Navi Mumbai";"1119477";"911542";"831";""
"237";"MAHARASHTRA";"Kalyan-Dombivali";"1246381";"1050798";"917";""
"238";"MAHARASHTRA";"Ulhasnagar";"506937";"408959";"875";""
"239";"MAHARASHTRA";"Ambernath";"254003";"201707";"910";""
"240";"MAHARASHTRA";"Badalapur";"175516";"146259";"914";""
"241";"MAHARASHTRA";"Panvel";"180464";"153138";"938";""
"242";"MAHARASHTRA";"Navi Mumbai Panvel Raigad";"194999";"153608";"809";""
"243";"MAHARASHTRA";"Pune";"3115431";"2556743";"945";"TRUE"
"244";"MAHARASHTRA";"Pimpri-Chinchwad";"1729359";"1374986";"828";""
"245";"MAHARASHTRA";"Ahmadnagar";"350905";"287468";"952";""
"246";"MAHARASHTRA";"Bid";"146237";"112171";"933";""
"247";"MAHARASHTRA";"Latur";"382754";"291226";"932";""
"248";"MAHARASHTRA";"Udgir";"104063";"78051";"911";""
"249";"MAHARASHTRA";"Osmanabad";"112085";"87041";"929";""
"250";"MAHARASHTRA";"Barshi";"118573";"91260";"948";""
"251";"MAHARASHTRA";"Solapur";"951118";"710180";"972";""
"252";"MAHARASHTRA";"Satara";"120079";"101320";"966";""
"253";"MAHARASHTRA";"Ichalkaranji";"287570";"223752";"921";""
"254";"MAHARASHTRA";"Kolapur";"549283";"459999";"956";""
"255";"MAHARASHTRA";"Sangli Miraj Kupwad";"502697";"397395";"969";""
"256";"MANIPUR";"Imphal";"264986";"219261";"1055";""
"257";"MEGHALAYA";"Shillong";"143007";"119313";"1042";""
"258";"MIZORAM";"Aizawl";"291822";"253588";"1029";""
"259";"NAGALAND";"Dimapur";"123777";"95646";"904";""
"260";"NCT OF DELHI";"DMC";"11007835";"8583105";"875";"TRUE"
"261";"NCT OF DELHI";"NDMC Total";"249998";"208352";"832";""
"262";"NCT OF DELHI";"Kirari Suleman Nagar";"282598";"191624";"858";""
"263";"NCT OF DELHI";"Sultan Pur Majra";"181624";"125557";"896";""
"264";"NCT OF DELHI";"Bhalswa Jahangir Pur";"197150";"130417";"855";""
"265";"NCT OF DELHI";"Burari";"145584";"113188";"872";""
"266";"NCT OF DELHI";"Karawal Nagar";"224666";"163801";"868";""
"267";"NCT OF DELHI";"Mustafabad";"127012";"81915";"903";""
"268";"NCT OF DELHI";"Gokal Pur";"121938";"90904";"878";""
"269";"NCT OF DELHI";"Mandoli";"120345";"84053";"877";""
